Names;Links;Description
Akara Robotics;https://www.akara.ai/;Akara provides robots for disinfecting hospital rooms. The product Violet is an ultraviolet light robot, which is clinically proven to kill viruses, bacteria, and harmful germs. Akara Robotics is an AI-based robot with a mission of developing social assistance robots that can support staff and residents in retirement communities. Hiring ROS engineers ([Autonomous Navigation Engineer](https://discourse.ros.org/t/autonomous-navigation-engineer-akara-robotics/25166)).
Alias Robotics;https://www.aliasrobotics.com/;Robot cybersecurity products and services around ROS and ROS 2 systems[^192]. The company is a relevant contributor to the ROS 2 Security WG[^190][^191] and is also behind the Robot Immune System (RIS)[^1], an endpoint protection platform for robots that offers ROS and ROS 2� additional security layers.
AMP Robotics;http://amprobotics.com;The use of automation and AI to modernize the recycling infrastructure worldwide. Recycling from mixed material streams is identified and sorted automatically by the high-speed robotics system AMP CortexTM. The AMP NeuronTM AI platform constantly improves itself by identifying materials and their recyclable nature. Hiring engineers with experience in ROS ([Mid-level Robot Software Engineer](https://wellfound.com/company/amp-robotics/jobs/1216296-mid-level-robot-software-engineer)). ROS drivers for AMP Robotics (see [`AMP-Robotics`](https://github.com/AMP-Robotics)).
AMS (Advanced Mechatronics Solutions);https://www.ams-fa.com/;Industrial automation company specializing in automated factory equipment. Hiring engineers with experience in ROS ([Robotic Software Engineer](https://www.linkedin.com/jobs/view/3762631636)).
Amsted Rail;http://www.amstedrail.com/;Design of fully integrated freight car systems for the heavy haul rail market. The company is [currently members](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^132].
Analog Devices;https://www.analog.com/en/index.html;World leader in high-performance analog and digital electronics offering cutting-edge sensing, measurement, power management, communication, and signal processing technologies. They released and maintain ROS Drivers for some of their MEMS sensors (e.g. see ADIS16470). ROS node for Analog Devices Inc. Inertial Measurement Units (IMU) (see [`analogdevicesinc/adi_imu_ros`](https://github.com/analogdevicesinc/adi_imu_ros)).
Angel Robotics;https://angel-robotics.com/ko/;Robotic technology company that offers wearable robotic devices for disabled people. Talk at [ROSCon 2022](https://roscon.ros.org/2022/): Wearable ROS: Development of wearable robot system using ROS 2 . The Angel Robotics ROS project (see [`angel_ros`](https://github.com/Angel-Robotics/angel_ros)).
Angsa Robotics;https://angsa-robotics.com;Specializes in the development and production of industrial robots and automation equipment. The company's products are used in a variety of industries, including automotive, electronics and food. Hiring ROS engineers ([Robotics Software Engineer](https://angsa-robotics.com/uploads/projects/2021_Software.pdf)).
Angulair;http://www.angulair.com;Deliver solutions for defence, agriculture, high rise tower, windmill inspection etc using MAV based solutions with their power tethered drones. Hiring ROS engineers ([Embedded/ Firmware Engineer](https://www.angulair.com/job-embedded-firmware-engineer/)).
Ant Robotics;https://antrobotics.de/;Develop autonomous platform solutions in various sectors. Their first robot platform helps in the agricultural field where they use image recognition and deep learning algorithms to precisely identify and remove harmful weeds among crops. Hiring ROS engineers ([ROS engineers](https://discourse.ros.org/t/fulltime-or-internship-in-navigation-for-outdoor-mobile-robot-in-agriculture/28714/1)).
ANYbotics;https://www.anybotics.com/;Develop mobile robotics for industrial applications. The simulation software to extend ANYmal\'92s (four-legged robots) capabilities and interface through the ROS APIs and open-source ecosystem. ROS drivers for ANYbotics (see [`ANYbotics`](https://github.com/ANYbotics)).
Apex.AI;https://www.apex.ai/;Specializes in developing operating systems for autonomous vehicles. Its software products are based on open-source software such as ROS or Eclipse iceoryx. [Apex.AI](https://www.apex.ai/) is a proud supporter of Open Robotics, ROS and ROSCon.
Applanix Corporation;http://www.applanix.com;Develop advanced products and scalable solutions that maximize productivity through Mobile Mapping and Positioning. ROS driver for Applanix hardware (see [`applanix_driver`](https://github.com/clearpathrobotics/applanix_driver))[^176].
Apple;http://www.apple.com;Design, manufacture, and market consumer electronics, personal computers, and software. Sponsor of the [ROScon](https://roscon.ros.org/2018/) in 2018. Seeking for ROS engineers[^276].
Apptronik;https://apptronik.com/;Builds and designs human-centered robotics systems. [Draco](https://apptronik.com/our-work/) is Apptronik\'92s first biped. The system can be a platform for any humanoid system, with easy integration between systems because of the open access to low level control software and libraries for RT Linux/ROS[^120] integration.
Aptiv;https://www.aptiv.com/;Manufacturer of software-defined vehicles and solve mobility\'92s toughest challenges in autonomous driving. Hiring engineers with experience in ROS ([Software Engineer](https://www.aptiv.com/ja/%E6%8E%A1%E7%94%A8%E6%83%85%E5%A0%B1/%E6%A4%9C%E7%B4%A2%E3%82%B8%E3%83%A7%E3%83%96/%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%E3%83%9D%E3%82%B8%E3%82%B7%E3%83%A7%E3%83%B3/J000640904)).
ARAV;https://www.arav.jp/;Offer automated construction equipment. Sponsor of the [ROScon](https://roscon.ros.org/2022/) 2022.
Arbe;http://www.arberobotics.com;Offers Real Time 4D Imaging Radar for autonomous driving. Hiring ROS engineers ([Software Tools Development Team Lead](https://arberobotics.com/careers/software-tools-development-team-lead-tel-aviv-israel/)).
ARC Specialties;http://www.arcspecialties.com;Design and build automated manufacturing systems and custom equipment for joining, cladding, and other applications. The company is [currently members](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^131].
Arche Robotics;http://archerobotics.com/;Design, manufacture, and commercialize \'93people-centric\'94 robotics systems across a wide variety of sectors. Company worker works as a [ROS developer](https://www.linkedin.com/in/kayracoskun/).
ARI;http://www.arifleet.com/;Offer business, vehicle and driver management solutions to various industries. Hiring ROS engineers ([Robotic Software Engineer](https://in.indeed.com/viewjob?jk=f31146b9111f3ecb&tk=1gppq1pd4k998800&from=serp&vjs=3)).
Arm;https://www.arm.com/;Design the technology building blocks that semiconductor designers, equipment manufacturers, and others use to create silicon chips and specialized compute systems.
ARM Institute;http://www.arminstitute.org;Accelerate the development and adoption of innovative robotics technologies. Make robotics, autonomy and artificial intelligence more accessible to U.S. manufacturers. An analysis of how the ARM projects have used ROS[^114].
ARTI;https://www.arti-robots.com;Develop software for ground-bound autonomous mobile robots. Hiring engineers with experience in ROS ([Robotic Software Developer](https://arti-robots.com/about/)).
Artisense;https://www.artisense.ai;Provide a globally leading 3D-vision technology, enabling vehicles, robots and UAVs navigate effectively in any space without GPS. Artisense provides ROS 1 and ROS 2 support, making it quick and simple for clients to work with our system [^175].
Ascent Robotics;https://www.ascent.ai;Develop intelligent solutions in industrial robotics and autonomous vehicles. Deliver software to achieve true machine autonomy. ROS drivers (see [`ascentai`](https://github.com/ascentai)).
Ascento Robotics;https://www.ascento.ch/;Offers autonomous outdoor security patrol robots as a service. ROS drivers for Ascento Robotics (see [`ascento-robotics`](https://github.com/ascento-robotics)).
Asea Brown Boveri (ABB);https://global.abb/group/en;Provide power and automation technologies for smart grids, robotics, electric cars, renewable energy and motors. The company is [currently members](https://rosindustrial.org/current-members) of ROS-Industrial.
Asensus Surgical;https://asensus.com/;Medical device company that digitizes the interface between the surgeon and the patient. Sponsor of the [ROScon](https://roscon.ros.org/2023/) 2023. ROSCon is a developers conference [^379].
ASIMOV Robotics;http://www.asimovrobotics.com;Supply Robot and machine vision systems, control and simulation software, navigation systems, educational robots, industrial robots, and sensors and sensor modules. The software system of some robots is written entirely in [ROS](http://wiki.ros.org/Robots/X-Terrabot).
Asimovo;https://asimovo.com/;A cloud based platform for developing and testing robots and autonomous systems. Sponsor of the [ROScon](https://roscon.ros.org/2023/) 2023. ROSCon is a developers conference [^379].
Atlas Robotics;https://www.atlas-robotics.com;Fully autonomous L4 pallet trucks/stackers for indoor factories, making them as standalone products or autonomy kits. Hiring engineers with experience in ROS ([Software Engineer](https://www.atlas-robotics.com/software-engineer)).
AUBO Robotics;https://www.aubo-cobot.com/public/index3;Manufacture lightweight collaborative robots. This repository is used to control real aubo's MRA(module robot arm) by the ros control (see [`mra_ros_control`](https://github.com/AuboRobot/mra_ros_control))[^23].
Auro;http://www.auro.ai;Develop L4 autonomous driving technologies. ROS drivers (see [`Develop L4 autonomous driving technologies`](https://github.com/AuroAi)).
Auterion;https://auterion.com/;Provide the ecosystem of software-defined drones, payloads, and third party applications within a platform based on open-source standards. Auterion driving [ROS 2](https://auterion.com/auterion-driving-ros-2-adoption-for-flying-robots/) adoption for flying robots.
Autobots INC;https://autobots-inc.com/;Develop a wide range of products: [6 axis cobot](https://autobots-inc.com/cobots-1), desktop [robots for education](https://autobots-inc.com/educational-robots), [grippers](https://autobots-inc.com/electrical-grippers) and [robot simulation and control software](https://autobots-inc.com/simulation-software). Their electric grippers supported by [ROS](https://autobots-inc.com/electrical-grippers).
AutoCore.ai;https://autocore.ai/;High Performance Functional Safety Middleware Platform for Intelligent Mobility at Scale. Development or migration of existing applications, or/and integration with AutoSAR as well as [ROS](https://autocore.ai/acsys.html)-based designs
AutomationWare;https://automationware.it;Develops and produces mechatronic components for robotics solutions with the use of ROS and ROS 2. All of their collaborative robots are supplied with the installation of a basic [ROS package](https://automationware.it/ros-eng/?lang=en).
AutonomouStuff;http://www.autonomoustuff.com;Provider of autonomy-enabling technologies that specializes in [perception sensors](https://autonomoustuff.com/products?para1=LiDAR), [GPS](https://autonomoustuff.com/products?para1=Mapping), and [computing](https://autonomoustuff.com/products?para1=Computing). ROS drivers for AutonomouStuff (see [`astuff`](https://github.com/astuff)).
Autoware Foundation;https://www.autoware.org/;Is the world\'92s leading open-source software project for autonomous driving. Autoware is built on [Robot Operating System (ROS)](https://www.autoware.org/) and enables commercial deployment of autonomous driving in a broad range of vehicles and applications.
Avidbots;https://avidbots.com/;Supporting autonomous cleaning robots. NEO is the smartest autonomous cleaning robot produced by Avidbots. NEO is used in industrial areas, shopping centers, hospitals, and colleges, among other places. Hiring ROS engineers ([Senior Software Developer](https://discourse.ros.org/t/multiple-software-jobs-available-avidbots/19493)).
AVL;https://www.avl.com/;Develop and improves all kinds of powertrain systems and is acompetent partner to the engine and automotive industry. Simulation: In addition, develops and markets the simulation methods which are necessary for the development work. AVL Ajunic\'ae controller platform for autonomous driving development, can be programmed with [ROS](https://www.avl.com/-/avl-adas-ecu).
Avnet;http://www.avnet.com;Is a global technology solutions company. Sponsor of the [ROScon](https://roscon.ros.org/jp/2019/) JP 2019. ROSCon is a developers conference [^166].
Avular;http://www.avular.com;Accelerates the creation of mobile robot applications with their modular hardware and software building blocks (The Essentials) and their flying and driving robot platforms (The Pioneers). Hiring ROS engineers ([Control engineer for Mobile Robotics](https://avular.com/careers/control-engineer-for-mobile-robotics/)).
AWS RoboMaker;https://aws.amazon.com/robomaker/;Cloud-based simulation service that enables robotics developers to run, scale, and automate simulation. Uses [ROS](https://aws.amazon.com/es/blogs/robotics/preparing-ros-application-and-simulation-containers-for-aws-robomaker/) to provide a standardized platform for building robotic applications. This makes it easier for developers to build, test, and deploy robotic applications using AWS infrastructure.
A&K Robotics;http://www.AandKrobotics.com;Design electric micro-mobility platforms and self-driving robotic pods to help improve quality of life and positively impact the environment. Their autonomous robots empower people with limited mobility to travel and navigate long distances in places such as airports, malls and museums. An image processing pipeline for ROS for A&K Robotics (see [`akrobotics/image_pipeline`](https://github.com/akrobotics/image_pipeline)).
Badger Technologies;http://www.badger-technologies.com/;Offer complete end-to-end solutions, from robot and software to store integration, maintenance and analytics. ROS drivers for Badger Technologies (see [`BadgerTechnologies`](https://github.com/orgs/BadgerTechnologies)).
Barnstorm Agtech;http://www.barnstormag.tech/;Provide an open platform for precision and powered deployment of farm technology. Hiring ROS engineers ([PUNE Robotic Agtech R&D Engineering](https://in.joblum.com/job/pune-robotic-agtech-r-d-engineering/1194887)).
Barrett Technology;http://www.barrett.com;Pioneer in collaborative robots that assist humans in their work. Robots made by Barrett, like WAM\'ae and BURT\'ae, use Barrett mechanisms, Puck\'ae motor controllers, and open-source software to control their movements. ROS drivers for Barrett Technology (see [`BarrettTechnology`](https://github.com/BarrettTechnology)).
Bastian Solutions;http://www.bastiansolutions.com;Is an independent material handling and robotics system integrator providing automated solutions for distribution and manufacturing. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^133].
Beagle Systems;https://www.beaglesystems.com/;Provide Drones-as-a-Service for powerline / pipeline inspections. ROS2 drivers for Beagle Systems (see [`BeagleSystems`](https://github.com/BeagleSystems)).
Beagle Technology;https://www.beagle-tech.com/;Uses AI and robotics software to transform traditional farming equipment with unseen accuracy, flexibility and intelligence. Hiring engineers with experience in ROS ([Director of Robotics](https://www.linkedin.com/jobs/view/director-of-robotics-at-beagle-technology-inc-3328013334/)).
Bear Robotics;https://www.bearrobotics.ai;Autonomous Mobile Robots (AMRs) for the food service and hospitality. Hiring engineers with experience in ROS ([Robotics Software Engineer - System](https://bear-robotics.breezy.hr/p/caf7e2f65bc3-robotics-software-engineer-system)).
BeeX;http://www.beex.sg;Design and manufacture Hovering Autonomous Underwater Vehicles (HAUVs). Hiring ROS engineers ([Robotics Engineer](https://www.linkedin.com/jobs/view/3450366275/?trackingId=dmISwE%2Fec7opNOw8SXyAIA%3D%3D&refId=5f96468d-fe1c-43c3-add2-f4277af8dc38&midToken=AQGM4kLzCLjyIw&midSig=1c_8ZMaJF7WqA1&trk=eml-email_job_alert_digest_01-job_card-0-jobcard_body&trkEmail=eml-email_job_alert_digest_01-job_card-0-jobcard_body-null-2oh2sl~lddbm7j8~gr-null-null&eid=2oh2sl-lddbm7j8-gr)).
Beta Robots;https://beta-robots.com/;Offer a comprehensive software solution for intralogistics applications using autonomous mobility robots (AMR/AGV). Company worker works as a [ROS developer (Development of robotics software)](https://www.linkedin.com/in/andreucorominasmurtra/?originalSubdomain=es).
Beyond Vision;https://beyond-vision.pt/;Certified Drones Manufacturer for professional applications or complex operations. Develops custom AI algorithms to achieve fully autonomous operations. Creator of an [user-friendly platform](https://beyond-vision.pt/bexstream/) providing total remote control of drones using ROS (see [our documentation](https://docs.beyond-vision.pt/heifu/ros.html)).
Birds Eye Robotics;https://www.birdseyerobotics.com;Agtech startup focusing on animal welfare and labor reduction in commercial poultry farms. Hiring ROS engineers ([ROS software developer](https://discourse.ros.org/t/ros-software-developer-nav2-birds-eye-robotics-omaha-ne/25571)).
Bitcraze AB;https://www.bitcraze.io;They develop and manufacture a small quadcopter called the Crazyflie[^29]. They also develop and maintain a supporting infrastructure with various tools to enable the end users to modify the Crazyflie in any way they want. Bitcraze LPS ROS driver (see [`lps-ros`](https://github.com/bitcraze/lps-ros)).
Black Coffee Robotics;https://blackcoffeerobotics.com;They consult and provide development services to robotics companies, primarily working with ROS/ROS2 based software stacks. ROS drivers for Black Coffee Robotics (see [`blackcoffeerobotics`](https://github.com/blackcoffeerobotics)).
BlackBerry QNX;https://blackberry.qnx.com/en;Supplier of commercial operating systems, hypervisors, development tools, support and services, all purpose-built for critical embedded systems. BlackBerry QNX helps to take advantage of a real-time operating system (RTOS) integrated with ROS2[^128]. [ROS2 QNX Documentation](https://ros2-qnx-documentation.readthedocs.io/en/galactic/index.html).
Blickfeld;https://www.blickfeld.com/;LiDAR Solutions for a safe and efficient world. This package provides an ROS node and a nodelet for publishing PointCloud2 messages from Blickfeld LiDAR devices (see [`Blickfeld ROS package`](https://docs.blickfeld.com/cube/v1.0.0/external/ros/driver-v1/README.html)).
Blue Atlas Robotics;https://blueatlasrobotics.com/;Manufactures underwater inspection robots. Robots track underwater surfaces such as ship hulls using automatic distance-keeping in any orientation. Company worker works as a [ROS developer](https://www.linkedin.com/in/antonis-karageorgiou-4b925b134/?originalSubdomain=dk).
Blue Ocean Robotics;https://www.blue-ocean-robotics.com/;Develop� professional service robots primarily in healthcare, hospitality, construction and agriculture. Hiring ROS engineers ([Robotics Software Developer](https://discourse.ros.org/t/robotics-software-developer-to-develop-uvd-robots-blue-ocean-robotics/24170)).
Blue River;http://www.bluerivertechnology.com;Use of computer vision and robotics for agriculture. These robots are designed for the selection of which herbicides to use on each plant. Hiring ROS engineers ([Sr Perception Engineer](https://www.linkedin.com/jobs/view/3555808212/)).
Blue Robotics;https://bluerobotics.com;Manufacturer of low-cost, high-performance components for marine robotics. [ROS](https://discuss.bluerobotics.com/t/ros-support-for-bluerov2/1550) support for [BlueROV2](https://bluerobotics.com/store/rov/bluerov2/).
BlueSpace.ai;http://www.bluespace.ai;Is an urban mobility company that develops autonomous vehicle technology. Bluespace\'92s patented [Dynamic Predictive Perception](https://www.bluespace.ai/technology) software allows an autonomous system to \'93see\'94 the velocity of all objects and in all directions, xsens ROS2 driver (see [`bluespace_ai_xsens_ros_mti_driver`](https://github.com/bluespace-ai/bluespace_ai_xsens_ros_mti_driver)).
Bluewhale Robot;http://www.bwbot.org;Has a solution for visual navigation. Bluewhale Robot has dedicated to providing ultra-cost-effective robotic autonomous mobile systems for use in products such as sweeper, service robots, security robots, industrial AGV and unmanned forklifts. ROS drivers for Bluewhale Robot (see [`BlueWhaleRobot`](https://github.com/BlueWhaleRobot)).
BMW Group;http://www.bmwgroup.com;Manufacter automobiles and motorcycles and also provides premium financial and mobility services. Automated driving with ROS[^115] at BMW.
Boeing;http://www.boeing.com/;Is an aerospace company that manufactures commercial jetliners, defense, space and security systems, and global services. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^134].
Bonsai Robotics;https://www.bonsairobotics.ai/;Provide vision-based automation solutions for off-road vehicles, such as agricultural machines. Hiring engineers with experience in ROS ([Motion Planning Engineer](https://ats.rippling.com/bonsairoboticsmain/jobs/16936b78-6fe2-4f64-b496-49073eda7869?jobSite=LinkedIn)).
Bosch;https://www.bosch.com/;Global supplier of technology and services. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^135].
Bossa Nova;http://www.bossanova.com;Provide real-time, on-shelf product data for the global retail industry. Sponsor of the [ROScon](https://roscon.ros.org/2018/) 2018. ROSCon is a developers conference [^169].
BotBuilt;https://www.botbuilt.com/;Creates construction components with robotic precision using AI and computer vision. Uses ROS and various ROS-related tools to build their robots. Hiring ROS engineers ([Senior Software Engineer](https://www.ycombinator.com/companies/botbuilt/jobs/8zZ1jOo-senior-software-engineer)).
BotsAndUs;https://www.botsandus.com/;Captures real-time insights of warehouse operations using fully autonomous robots[^28] and Artificial Intelligence. The autonomous mobile and modular robots measure, track, and find goods across warehouses without workflow disruption. ROS Navigation stack, code for finding where the robot is and how it can get somewhere else (see [`navigation`](https://github.com/botsandus/navigation)).
Botronics;https://botronics.be/;We are belgium based and we want to simplify the lives of humans by empowering machines to take on the most repetitive and tedious tasks, freeing up time for activities that are more creative and meaningful to humans. For this vision to become a reality, it is essential to work on the interface between machines and humans to make it as intuitive as possible, so that users can interact with machines without the need for specialist technical skills. You dream about a robot ables to deal with your company daily tasks ? We can help you ! We are the creator of the autonomous golf trolley[^380]. Technically speaking, we use ROS2 and implement business logic based on navigation using Nav2.
Botsync;https://www.botsync.co;Builds heavy duty autonomous mobile robots[^65] to help companies transit from manual operations to automation. ROS Drivers for communicating with Botsync AMR (see [`botsync`](https://github.com/botsync)).
Bowery Farming;http://boweryfarming.com;The company uses innovative technologies, including robotics, artificial intelligence, and data analytics, to grow a wide range of leafy greens and herbs in a highly efficient and sustainable way. ROS 3D Robot Visualizer (see [`BoweryFarming`](https://github.com/BoweryFarming/rviz)).
Boxbot;http://www.boxbot.io;Build automation systems for parcel delivery. Their product integrates robotics and autonomous technologies into a scalable end-to-end solution. ROS package containing drivers for NMEA devices (see [`nmea_navsat_driver`](https://github.com/boxbotinc/nmea_navsat_driver)).
Brain Corp;http://braincorp.com/;Robotics and AI company that specializes in developing software for autonomous mobile robots (AMRs) used in industries such as retail, hospitality, and healthcare. ROS drivers for Brain Corporation (see [`braincorp`](https://github.com/braincorp)).
BrainGarden;https://www.braingarden.ai;They apply their experience in artificial intelligence to the domain fields, e.g. computer vision manufacturing and smart systems assembly, medical imaging analysis, FashionTech, Creative AI, and more. ROS Perception package (depthimage_to_laserscan) that converts a depth image to a laser scan for use with navigation and localization for BrainGarden (see [`BrainGardenAI/depthimage_to_laserscan`](https://github.com/BrainGardenAI/depthimage_to_laserscan)).
BringAuto;http://bringauto.com/;Offer� industrial delivery robots together with fleet management. They extending the experimentation facilities into robotic domains thorough standard Application Programming Interfaces (APIs) under Robot Operating System ([ROS](https://bringauto.com/en/5g-era/)).
Brisa Rob\'f3tica;https://www.brisa.tech/;Automate existing vehicles or develop new ones. Windrose[^69] is a solution to boost productivity in the supply chain. ROS Drivers (see [`brisa-robotics`](https://github.com/brisa-robotics)).
BSH Hausger\'e4te AG;https://www.bsh-group.com;Produce and sell household appliances. Is one of the largest manufacturers of home appliances in the world. Hiring engineers with experience in ROS ([Software engineer (m/f/d) Robotics](https://jobs.bsh-group.de/27524-software-engineer-m-f-d-robotics/en/job.html?persisted_lang=en)).
